iter	Passed	Remaining
0	188	56287
1	228	34030
2	290	28742
3	387	28644
4	438	25863
5	478	23424
6	502	21024
7	531	19407
8	555	17962
9	578	16782
10	606	15936
11	632	15169
12	653	14420
13	677	13840
14	702	13348
15	725	12878
16	750	12495
17	771	12085
18	794	11757
19	819	11474
20	844	11215
21	863	10916
22	885	10663
23	908	10442
24	928	10212
25	949	10011
26	976	9874
27	999	9706
28	1025	9579
29	1048	9436
30	1077	9345
31	1099	9206
32	1127	9120
33	1157	9058
34	1187	8989
35	1224	8981
36	1256	8932
37	1283	8852
38	1309	8763
39	1340	8713
40	1370	8658
41	1397	8584
42	1421	8496
43	1449	8432
44	1476	8364
45	1505	8311
46	1530	8240
47	1555	8167
48	1583	8111
49	1607	8038
50	1636	7987
51	1665	7944
52	1688	7869
53	1715	7815
54	1738	7743
55	1766	7694
56	1789	7628
57	1870	7806
58	1905	7784
59	1930	7722
60	1951	7645
61	1973	7576
62	2001	7528
63	2029	7484
64	2053	7423
65	2081	7381
66	2103	7313
67	2128	7261
68	2155	7216
69	2181	7167
70	2209	7126
71	2231	7065
72	2251	7002
73	2275	6949
74	2296	6888
75	2318	6833
76	2351	6809
77	2373	6756
78	2397	6705
79	2420	6656
80	2445	6610
81	2466	6557
82	2495	6523
83	2515	6469
84	2537	6419
85	2559	6370
86	2580	6317
87	2601	6268
88	2626	6226
89	2648	6178
90	2670	6132
91	2693	6089
92	2714	6042
93	2738	6000
94	2759	5954
95	2779	5907
96	2802	5865
97	2827	5829
98	2848	5782
99	2870	5740
100	2893	5700
101	2916	5661
102	2940	5624
103	2963	5585
104	2989	5552
105	3010	5510
106	3036	5477
107	3058	5437
108	3081	5399
109	3105	5363
110	3131	5331
111	3152	5291
112	3172	5250
113	3194	5212
114	3217	5175
115	3237	5135
116	3258	5095
117	3280	5059
118	3303	5024
119	3330	4995
120	3353	4961
121	3376	4926
122	3401	4894
123	3421	4856
124	3442	4819
125	3468	4790
126	3491	4756
127	3518	4728
128	3545	4699
129	3573	4672
130	3603	4649
131	3637	4629
132	3673	4612
133	3704	4588
134	3734	4564
135	3768	4544
136	3802	4523
137	3832	4499
138	3861	4472
139	3886	4441
140	3917	4417
141	3949	4394
142	3980	4370
143	4011	4345
144	4039	4317
145	4071	4294
146	4099	4266
147	4129	4241
148	4162	4218
149	4192	4192
150	4222	4166
151	4250	4139
152	4283	4115
153	4315	4090
154	4349	4068
155	4382	4044
156	4410	4017
157	4436	3987
158	4464	3959
159	4492	3930
160	4517	3900
161	4548	3874
162	4596	3863
163	4639	3847
164	4668	3820
165	4697	3792
166	4727	3765
167	4761	3741
168	4793	3715
169	4819	3685
170	4849	3658
171	4874	3627
172	4904	3600
173	4927	3568
174	4962	3544
175	4987	3513
176	5012	3482
177	5042	3456
178	5064	3423
179	5092	3394
180	5118	3365
181	5139	3332
182	5162	3300
183	5184	3268
184	5207	3237
185	5229	3204
186	5252	3173
187	5275	3142
188	5297	3111
189	5320	3080
190	5351	3053
191	5374	3023
192	5400	2994
193	5425	2964
194	5451	2935
195	5473	2904
196	5498	2874
197	5519	2843
198	5549	2816
199	5568	2784
200	5596	2756
201	5618	2725
202	5644	2697
203	5668	2667
204	5689	2636
205	5713	2607
206	5734	2576
207	5756	2546
208	5780	2516
209	5805	2488
210	5827	2458
211	5853	2429
212	5876	2400
213	5899	2371
214	5924	2342
215	5951	2314
216	5975	2285
217	5998	2256
218	6019	2226
219	6043	2197
220	6064	2167
221	6087	2138
222	6111	2110
223	6134	2081
224	6157	2052
225	6178	2023
226	6199	1993
227	6222	1965
228	6243	1935
229	6266	1907
230	6289	1878
231	6310	1849
232	6336	1822
233	6357	1793
234	6381	1765
235	6404	1736
236	6427	1708
237	6450	1680
238	6472	1651
239	6494	1623
240	6520	1596
241	6542	1568
242	6564	1539
243	6587	1511
244	6611	1484
245	6641	1457
246	6667	1430
247	6689	1402
248	6717	1375
249	6738	1347
250	6764	1320
251	6790	1293
252	6817	1266
253	6840	1238
254	6866	1211
255	6885	1183
256	6908	1155
257	6934	1128
258	6956	1101
259	6979	1073
260	7001	1046
261	7023	1018
262	7050	991
263	7074	964
264	7098	937
265	7121	910
266	7148	883
267	7170	856
268	7194	829
269	7217	801
270	7244	775
271	7265	747
272	7286	720
273	7310	693
274	7335	666
275	7356	639
276	7378	612
277	7400	585
278	7424	558
279	7450	532
280	7474	505
281	7497	478
282	7520	451
283	7545	425
284	7569	398
285	7593	371
286	7614	344
287	7639	318
288	7661	291
289	7683	264
290	7706	238
291	7726	211
292	7748	185
293	7770	158
294	7792	132
295	7814	105
296	7838	79
297	7867	52
298	7892	26
299	7918	0
