record_id,product_id,product_name,category,store_id,region,supplier_id,transaction_date,expiration_date,shelf_life_days,days_remaining_at_purchase,storage_temp,temp_deviation,base_price,cost_price,initial_quantity,spoilage_sensitivity,day_of_week,is_weekend,month,daily_demand,demand_variability,temp_abuse_events,distribution_hours,handling_score,packaging_score,spoilage_risk,was_spoiled,quality_grade,days_until_expiry,markdown_applied,discount_pct,selling_price,units_sold,units_wasted,waste_pct,revenue,waste_cost,profit,profit_margin_pct,supplier_score,is_promoted,mapped_shelf_life,life_ratio,mapped_ideal_temp,temp_diff
1,BAK_DON_743,Donuts,Bakery,STORE_046,West,SUPPLIER_03,2024-09-25,2024-09-29,4,4,21.0,1.0,2.6,1.22,158,0.5,2,0,9,54,0.35,0,41.5,9,10,0.099,0,A,2,0,0.0,2.6,138,20,12.7,358.8,24.4,166.04,46.3,9,0,4.5,0.4444444444444444,20.0,1.0
2,MEA_SAU_338,Sausages,Meat,STORE_030,Southwest,SUPPLIER_12,2023-04-14,2023-04-21,9,7,0.7,0.3,8.25,4.18,353,0.9,4,0,4,55,0.35,0,38.7,8,8,0.172,0,A,4,0,0.0,8.25,251,102,28.9,2070.75,426.36,595.21,28.7,6,0,6.5,0.6153846153846154,1.0,-0.30000000000000004
3,BAK_BAG_799,Bagels,Bakery,STORE_035,Midwest,SUPPLIER_08,2024-10-25,2024-10-27,2,2,21.3,1.3,4.12,2.12,483,0.5,4,0,10,331,0.35,0,54.1,4,8,0.201,0,B,0,1,0.69,1.28,483,0,0.0,618.24,0.0,-405.72,-65.6,9,0,4.5,0.0,20.0,1.3000000000000007
4,PHA_VAC_801,Vaccines,Pharmaceuticals,STORE_003,Midwest,SUPPLIER_11,2023-11-29,2024-02-17,87,80,8.0,3.0,209.56,87.99,477,0.85,2,0,11,7,0.38,0,70.1,5,9,0.23,0,B,79,0,0.0,209.56,477,0,0.0,99960.12,0.0,57988.89,58.0,6,0,381.6,0.2070230607966457,5.0,3.0
6,PHA_EYE_369,Eye Drops,Pharmaceuticals,STORE_026,West,SUPPLIER_12,2024-08-21,2025-07-06,468,319,4.5,0.5,121.37,84.87,270,0.85,2,0,8,0,0.49,0,4.3,10,8,0.142,0,A,317,0,0.0,121.37,0,270,100.0,0.0,22914.9,-22914.9,0.0,6,0,381.6,0.830712788259958,5.0,-0.5
7,BEV_FRE_873,Fresh Juice,Beverages,STORE_041,Midwest,SUPPLIER_06,2023-02-18,2023-02-27,10,9,8.2,3.2,8.34,4.39,42,0.4,5,1,2,4,0.4,1,5.3,8,9,0.125,0,A,8,0,0.0,8.34,41,1,2.4,341.94,4.39,157.56,46.1,8,0,18.5,0.43243243243243246,5.0,3.1999999999999993
8,FRO_FRO_710,Frozen Dinners,Frozen_Meals,STORE_036,Northeast,SUPPLIER_01,2024-04-24,2025-02-16,330,298,-18.5,1.5,14.88,6.46,463,0.3,2,0,4,0,0.44,0,44.5,5,7,0.204,1,B,297,0,0.0,14.88,0,463,100.0,0.0,2990.98,-2990.98,0.0,7,0,212.3,1.398963730569948,-20.0,1.5
9,PHA_ANT_887,Antibiotics,Pharmaceuticals,STORE_019,Northeast,SUPPLIER_14,2024-10-18,2025-10-17,378,364,4.1,0.9,91.71,36.77,379,0.85,4,0,10,2,0.2,0,15.2,5,7,0.191,0,B,364,0,0.0,91.71,379,0,0.0,34758.09,0.0,20822.26,59.9,6,0,381.6,0.9538784067085954,5.0,-0.9000000000000004
10,BAK_CRO_880,Croissants,Bakery,STORE_041,Midwest,SUPPLIER_10,2023-07-02,2023-07-08,6,6,21.1,1.1,12.94,7.15,111,0.5,6,1,7,50,0.12,0,5.9,4,8,0.165,0,B,5,0,0.0,12.94,111,0,0.0,1436.34,0.0,642.69,44.7,8,0,4.5,1.1111111111111112,20.0,1.1000000000000014
11,SEA_TUN_880,Tuna,Seafood,STORE_001,Northeast,SUPPLIER_20,2023-06-15,2023-06-19,6,4,-0.9,0.9,19.99,8.11,485,0.95,3,0,6,116,0.23,0,5.7,6,6,0.239,0,B,3,0,0.0,19.99,257,228,47.0,5137.43,1849.08,1204.08,23.4,9,0,4.5,0.6666666666666666,0.0,-0.9
12,DEL_SAL_345,Salami,Deli,STORE_006,Southeast,SUPPLIER_03,2023-03-01,2023-03-05,6,4,3.1,0.9,14.25,9.19,399,0.75,2,0,3,103,0.3,0,52.6,7,5,0.268,1,B,4,0,0.0,14.25,279,120,30.1,3975.75,1102.8,308.94,7.8,9,0,8.5,0.47058823529411764,4.0,-0.8999999999999999
14,PHA_BIO_806,Biologics,Pharmaceuticals,STORE_043,Midwest,SUPPLIER_12,2023-07-25,2024-05-18,349,298,1.2,3.8,227.48,126.31,71,0.85,1,0,7,0,0.21,1,55.4,8,5,0.292,1,B,295,0,0.0,227.48,0,71,100.0,0.0,8968.01,-8968.01,0.0,6,0,381.6,0.7730607966457023,5.0,-3.8
16,PRO_LET_132,Lettuce,Produce,STORE_018,West,SUPPLIER_16,2023-12-05,2023-12-10,5,5,6.9,1.1,2.5,1.1,488,0.6,1,0,12,130,0.24,0,17.6,6,6,0.195,0,B,4,0,0.0,2.5,488,0,0.0,1220.0,0.0,683.2,56.0,10,0,12.0,0.3333333333333333,8.0,-1.0999999999999996
18,FRO_FRO_984,Frozen Dinners,Frozen_Meals,STORE_026,West,SUPPLIER_11,2023-02-25,2023-06-12,110,107,-19.4,0.6,16.81,7.28,108,0.3,5,1,2,1,0.14,1,42.8,5,7,0.195,0,B,107,0,0.0,16.81,103,5,4.6,1731.43,36.4,945.19,54.6,6,0,212.3,0.5040037682524728,-20.0,0.6000000000000014
19,PRO_BER_559,Berries,Produce,STORE_018,West,SUPPLIER_15,2023-05-24,2023-06-08,16,15,6.2,1.8,2.75,1.86,236,0.6,2,0,5,25,0.22,1,64.7,7,6,0.232,0,B,12,0,0.0,2.75,236,0,0.0,649.0,0.0,210.04,32.4,6,0,12.0,1.0,8.0,-1.7999999999999998
20,PHA_INS_151,Insulin,Pharmaceuticals,STORE_006,Southeast,SUPPLIER_08,2024-10-29,2026-06-01,583,580,2.2,2.8,95.66,52.2,119,0.85,1,0,10,1,0.27,3,28.3,6,9,0.178,0,B,579,0,0.0,95.66,119,0,0.0,11383.54,0.0,5171.74,45.4,9,1,381.6,1.5172955974842766,5.0,-2.8
